Id;Name;Date
1;Nouvel an;01-01-24 00:00
2;Lundi de Pâques;01-01-01 00:00
3;Fête du travail;01-05-23 00:00
4;Ascension;01-01-01 00:00
5;Lundi de Pentecôte;01-01-01 00:00
6;Fête nationale de Belgique;21-07-23 00:00
7;Assomption;15-08-23 00:00
8;Toussaint;01-11-23 00:00
9;Armistice;11-11-23 00:00
10;Noël;25-12-23 00:00
